시가,고가,저가,종가,거래량,금액(백만)
62000.0,62400.0,61200.0,61400.0,11142693.0,686991.0
62000.0,62800.0,61700.0,62400.0,12528855.0,781048.0
61900.0,62000.0,61000.0,61300.0,16025661.0,984567.0
59100.0,60700.0,59000.0,60700.0,14381774.0,862500.0
59500.0,59600.0,58900.0,59000.0,14300928.0,846498.0
60400.0,61000.0,59900.0,60000.0,16906295.0,1021498.0
59600.0,60000.0,59100.0,60000.0,11359139.0,677776.0
58800.0,59700.0,58300.0,59500.0,16000170.0,945371.0
58400.0,58600.0,57400.0,58600.0,24102579.0,1402997.0
56200.0,57400.0,55900.0,56800.0,23501171.0,1330939.0
55700.0,56400.0,55600.0,55800.0,10009778.0,560227.0
54900.0,55600.0,54600.0,55500.0,10278951.0,567462.0
56000.0,56600.0,54900.0,55500.0,15422255.0,860207.0
55500.0,56000.0,55000.0,55200.0,12993228.0,719663.0
56200.0,56600.0,55700.0,55800.0,8356767.0,467930.0
55700.0,56900.0,55500.0,56500.0,12313056.0,692415.0
54700.0,55400.0,54400.0,55400.0,9645034.0,530105.0
55600.0,55700.0,54800.0,55000.0,11868463.0,655144.0
56100.0,56400.0,55100.0,55500.0,9839252.0,546623.0
56100.0,56500.0,55600.0,56000.0,12095519.0,677521.0
57000.0,57300.0,55500.0,56000.0,14180520.0,799291.0
56700.0,57200.0,56000.0,56300.0,15558208.0,878486.0
55800.0,56700.0,55400.0,56700.0,19358433.0,1087303.0
54500.0,54900.0,54300.0,54700.0,11512405.0,630060.0
54500.0,54800.0,53900.0,54700.0,18120261.0,987028.0
53000.0,53300.0,52700.0,53300.0,29178697.0,1551714.0
51500.0,52200.0,51400.0,51900.0,11379521.0,589980.0
51000.0,51600.0,50700.0,51500.0,6882771.0,352660.0
50900.0,51400.0,50700.0,51200.0,8470627.0,432760.0
50100.0,50900.0,49950.0,50400.0,11414563.0,575970.0
50200.0,50400.0,49500.0,49500.0,10449715.0,520067.0
49600.0,49850.0,49000.0,49450.0,13246549.0,654935.0
49800.0,50300.0,49500.0,49900.0,12059812.0,602055.0
50900.0,51300.0,50400.0,50400.0,18877252.0,944328.0
51200.0,51400.0,50200.0,50300.0,11179334.0,564596.0
51900.0,52100.0,51300.0,51300.0,6833885.0,353450.0
51800.0,52300.0,51600.0,52200.0,7546261.0,392692.0
51900.0,52900.0,51800.0,51800.0,27372226.0,1424278.0
52200.0,52600.0,51700.0,51800.0,9050625.0,472176.0
51000.0,51600.0,50900.0,51600.0,8478310.0,435737.0
51600.0,52100.0,50600.0,51000.0,14298646.0,729351.0
53400.0,53400.0,52000.0,52000.0,12560070.0,659160.0
53200.0,53500.0,52700.0,53500.0,8907177.0,473053.0
53600.0,53800.0,53200.0,53500.0,7746554.0,414199.0
52900.0,53700.0,52600.0,53700.0,9703360.0,518315.0
51900.0,52800.0,51900.0,52800.0,12010018.0,630540.0
52500.0,52500.0,52000.0,52500.0,6225196.0,325646.0
51800.0,52600.0,51600.0,52600.0,6576148.0,342966.0
52200.0,52200.0,51400.0,51600.0,8185952.0,423836.0
53200.0,53300.0,52000.0,52100.0,11603290.0,610282.0
53400.0,53400.0,52400.0,52900.0,9257116.0,488510.0
52900.0,53500.0,52700.0,53300.0,14361133.0,762570.0
52400.0,52700.0,52100.0,52700.0,10581034.0,555449.0
51700.0,52300.0,51400.0,52300.0,13012411.0,677400.0
50600.0,51200.0,50400.0,51200.0,8467846.0,422791.0
51000.0,51400.0,50300.0,50400.0,10304777.0,525166.0
50700.0,50800.0,50200.0,50400.0,8959435.0,452020.0
51400.0,51700.0,50800.0,51100.0,7581629.0,387755.0
50700.0,51500.0,50700.0,51300.0,6431522.0,329526.0
50800.0,51200.0,50500.0,50900.0,7879897.0,400781.0
52500.0,52500.0,50500.0,50700.0,21185785.0,1077417.0
51300.0,51500.0,50800.0,51200.0,8663880.0,443385.0
50800.0,51500.0,50700.0,51200.0,10898729.0,557128.0
49900.0,50400.0,49800.0,50300.0,4406531.0,220999.0
50300.0,50900.0,49650.0,49900.0,8483106.0,426948.0
50500.0,50600.0,50100.0,50500.0,6701380.0,337531.0
50700.0,50900.0,50400.0,50700.0,9136282.0,462746.0
49900.0,50200.0,49900.0,50100.0,6058105.0,303432.0
50000.0,50300.0,49850.0,50000.0,11130635.0,557618.0
49000.0,49450.0,48800.0,49150.0,7783275.0,382774.0
48200.0,49200.0,48000.0,48550.0,18639855.0,904488.0
47900.0,49000.0,47600.0,48900.0,14239367.0,689495.0
48350.0,48700.0,47650.0,47750.0,7047273.0,338656.0
47400.0,48650.0,47350.0,48000.0,9331695.0,448302.0
48350.0,48400.0,47600.0,47600.0,8382463.0,401925.0
48900.0,49100.0,48650.0,48850.0,6206035.0,303326.0
48050.0,49250.0,47900.0,49050.0,9497119.0,462640.0
48000.0,48700.0,48000.0,48400.0,8048041.0,389082.0
49000.0,49250.0,48900.0,49200.0,8494756.0,416997.0
49200.0,49350.0,48800.0,48900.0,9187141.0,450711.0
49050.0,49650.0,48850.0,49500.0,7871955.0,387800.0
49250.0,49300.0,49000.0,49300.0,7568553.0,372223.0
49400.0,49600.0,49100.0,49200.0,15460210.0,763187.0
48050.0,49200.0,47850.0,49150.0,16461413.0,803292.0
46900.0,47700.0,46800.0,47700.0,10413027.0,494000.0
47000.0,47100.0,46800.0,46900.0,7006280.0,328706.0
47000.0,47100.0,46400.0,47100.0,15550926.0,728203.0
47300.0,47400.0,46800.0,47150.0,16141619.0,761317.0
